season,name,retailer,category,shade,price,salePrice,url,confidence,img,dateAdded
softAutumn,Mohito Pleated Mini Dress,mohito,dress,chocolate,149 RON,,https://www.mohito.com/ro/ro/rochie-mini-cu-falduri-854jt-84x,high,https://static.mohito.com/media/catalog/product/8/5/854JT-84X-001-1-1211915.jpg,
deepAutumn,Mohito Pleated Mini Dress,mohito,dress,chocolate,149 RON,,https://www.mohito.com/ro/ro/rochie-mini-cu-falduri-854jt-84x,high,https://static.mohito.com/media/catalog/product/8/5/854JT-84X-001-1-1211915.jpg,
brightSpring,Mohito Short Sleeve Midi Dress,mohito,dress,clearwhite,199 RON,,https://www.mohito.com/ro/ro/rochie-midi-bufanta-608jw-00x,high,https://static.mohito.com/media/catalog/product/6/0/608JW-00X-002-1-1232844.jpg,
brightWinter,Mohito Short Sleeve Midi Dress,mohito,dress,purewhite,199 RON,,https://www.mohito.com/ro/ro/rochie-midi-bufanta-608jw-00x,high,https://static.mohito.com/media/catalog/product/6/0/608JW-00X-002-1-1232844.jpg,
brightWinter,Mohito Maxi Dress,mohito,dress,black,165 RON,,https://www.mohito.com/ro/ro/rochie-maxi-505gr-99x,high,https://static.mohito.com/media/catalog/product/5/0/505GR-99X-001-1-1243186.jpg,
deepWinter,Mohito Maxi Dress,mohito,dress,trueblack,165 RON,,https://www.mohito.com/ro/ro/rochie-maxi-505gr-99x,high,https://static.mohito.com/media/catalog/product/5/0/505GR-99X-001-1-1243186.jpg,
deepWinter,Mohito Halter Midi Dress,mohito,dress,deepraspberry,189 RON,,https://www.mohito.com/ro/ro/rochie-de-vara-765gp-44x,high,https://static.mohito.com/media/catalog/product/7/6/765GP-44X-001-1-1234571.jpg,
lightSummer,Blue Jersey Slouchy Shoulder Mini Dress,next,dress,powderblue,192 RON,,https://www.next.ro/en/style/su961513/g87179,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G87179s.jpg,
softSummer,Blue Jersey Slouchy Shoulder Mini Dress,next,dress,duskyblue,192 RON,,https://www.next.ro/en/style/su961513/g87179,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G87179s.jpg,
brightSpring,Friends Like These Blue Strappy Linen Blend Midi Dress,next,dress,tropicalblue,335 RON,,https://www.next.ro/en/style/su883297/g05058,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G05058s.jpg,
warmAutumn,Blue V-Neck 2 in 1 Hanky Hem Midi Dress,next,dress,warmnavy,332 RON,,https://www.next.ro/en/style/sv007282/g87695,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G87695s.jpg,
deepAutumn,Blue V-Neck 2 in 1 Hanky Hem Midi Dress,next,dress,warmnavy,332 RON,,https://www.next.ro/en/style/sv007282/g87695,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G87695s.jpg,
warmAutumn,Navy Blue Jersey Waisted Summer Midi Dress,next,dress,warmnavy,243 RON,,https://www.next.ro/en/style/su789913/h68970,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H68970s.jpg,
deepAutumn,Navy Blue Jersey Waisted Summer Midi Dress,next,dress,warmnavy,243 RON,,https://www.next.ro/en/style/su789913/h68970,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H68970s.jpg,
coolSummer,Lipsy X Mandy Sade Blue Scarf Print Mini Dress,next,dress,slateblue,417 RON,,https://www.next.ro/en/style/su911133/y33046,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y33046s.jpg,
brightWinter,Lipsy X Mandy Sade Blue Scarf Print Mini Dress,next,dress,sapphireblue,417 RON,,https://www.next.ro/en/style/su911133/y33046,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y33046s.jpg,
lightSummer,BHOEM Blue Square Neck Embroidered Maxi Dress,next,dress,powderblue,514 RON,,https://www.next.ro/en/style/su974205/v34164,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V34164s.jpg,
